id,red1,red2,red3,red4,red5,red6,blue,firstPrizeAddress,OpenTime,SaleMoney
2017098,04,27,22,30,33,19,01,"辽宁1注,上海1注,江苏1注,浙江1注,安徽1注,江西4注,山东1注,湖南1注,广东1注,广西1注,云南1注,共14注。",2017-08-22,314009676
2017099,06,05,16,28,29,02,04,"天津15注,河北1注,内蒙古1注,上海1注,浙江2注,安徽2注,福建1注,广东2注,广西1注,四川1注,共27注。",2017-08-24,310565530
2017100,23,04,07,18,24,08,02,"北京10注,江苏2注,浙江1注,湖南1注,重庆1注,陕西1注,共16注。",2017-08-27,343590604
2017101,11,28,01,32,04,31,16,"广东1注,甘肃1注,共2注。",2017-08-29,313219868
2017102,10,14,04,20,18,08,11,"北京3注,河北1注,内蒙古1注,辽宁1注,黑龙江1注,广东2注,深圳1注,四川1注,云南2注,新疆1注,共14注。",2017-08-31,315963272
2017103,25,31,33,01,21,23,01,"山西1注,山东1注,湖南1注,广东3注,重庆2注,贵州1注,共9注。",2017-09-03,347478996
2017104,01,14,23,30,20,15,14,"黑龙江1注,贵州1注,共2注。",2017-09-05,310263038
2017105,03,12,06,25,07,26,07,"河北1注,山西2注,辽宁2注,上海2注,江苏1注,浙江4注,山东2注,河南2注,湖南4注,广东2注,广西6注,宁夏1注,共29注。",2017-09-07,314223620
2017106,31,20,25,12,15,27,02,"河北1注,吉林1注,福建1注,湖南1注,共4注。",2017-09-10,346574690
2017107,32,30,08,09,15,17,06,"北京1注,上海15注,江西1注,广东1注,宁夏1注,共19注。",2017-09-12,319335446
2017108,17,14,15,20,07,12,01,"山西1注,内蒙古1注,江西1注,山东1注,重庆2注,共6注。",2017-09-14,320774192
2017109,21,16,08,14,18,23,16,"黑龙江1注,贵州1注,云南2注,共4注。",2017-09-17,349302018
2017110,12,19,15,23,01,03,14,"河北1注,安徽1注,湖北1注,共3注。",2017-09-19,316936062
2017111,19,10,05,32,17,29,12,"黑龙江1注,江苏1注,浙江4注,福建1注,湖北2注,广东5注,重庆2注,共16注。",2017-09-21,317976914
2017112,23,16,22,10,03,14,11,"广东1注,陕西1注,共2注。",2017-09-24,346255520
2017113,29,06,04,33,16,27,05,"河北1注,辽宁1注,山东2注,共4注。",2017-09-26,316223542
2017114,06,12,15,13,18,26,13,"上海1注,山东1注,湖北1注,深圳1注,共4注。",2017-09-28,321554260
2017115,11,04,31,25,10,30,01,"广东3注,广西2注,云南1注,共6注。",2017-10-01,322048056
2017116,14,30,22,32,02,20,02,"辽宁1注,江苏1注,河南1注,湖北1注,广东1注,海南1注,四川1注,云南2注,共9注。",2017-10-03,270066216
2017117,11,08,02,01,14,21,09,"山东1注,广东1注,陕西1注,共3注。",2017-10-05,277103412
2017118,22,33,09,30,15,08,16,"浙江1注,福建1注,河南1注,湖南8注,重庆1注,共12注。",2017-10-08,339910326
2017119,31,09,25,26,21,16,14,"河北1注,江苏2注,浙江1注,安徽1注,河南1注,海南1注,重庆2注,四川1注,陕西1注,共11注。",2017-10-10,311293858
2017120,10,19,08,23,28,15,16,"河北1注,辽宁1注,安徽1注,四川1注,云南1注,共5注。",2017-10-12,319254526
2017121,32,19,22,18,24,11,07,"浙江2注,福建1注,湖北1注,云南1注,共5注。",2017-10-15,344520506
2017122,22,21,27,24,20,11,15,"江苏2注,河南2注,共4注。",2017-10-17,323216212
2017123,06,31,04,21,11,05,10,"山西1注,内蒙古1注,上海1注,江苏2注,福建2注,河南2注,湖北1注,湖南2注,重庆1注,四川1注,贵州2注,共16注。",2017-10-19,327467830
2017124,28,26,02,06,29,11,03,"河北1注,上海1注,安徽1注,福建1注,河南1注,湖南1注,广西1注,青海1注,共8注。",2017-10-22,352610564
2017125,25,23,14,01,29,30,03,"上海1注,安徽1注,山东2注,广东1注,新疆1注,共6注。",2017-10-24,324821104
2017126,21,01,27,30,16,17,16,"浙江1注,福建6注,云南1注,共8注。",2017-10-26,328800104
2017127,21,24,14,27,32,15,12,"上海1注,江苏1注,广东1注,甘肃1注,共4注。",2017-10-29,351381232
2017128,22,29,02,31,13,06,08,"天津2注,辽宁1注,山东4注,湖北1注,湖南1注,广东1注,重庆1注,云南1注,甘肃1注,共13注。",2017-10-31,323872230
2017129,14,33,09,21,06,05,02,"山西1注,辽宁1注,广西1注,共3注。",2017-11-02,334351058
2017130,31,13,05,23,25,14,02,"浙江1注,安徽1注,四川3注,共5注。",2017-11-05,401382016
2017131,07,27,10,01,11,26,11,"河北2注,辽宁2注,吉林1注,上海1注,浙江1注,安徽6注,福建5注,山东1注,河南4注,湖南1注,重庆1注,共25注。",2017-11-07,367788616
2017132,09,13,05,02,03,28,11,"北京1注,浙江2注,广东1注,广西1注,云南1注,共6注。",2017-11-09,377852842
2017133,30,23,18,15,17,06,11,"河北2注,辽宁1注,上海1注,湖北1注,广东1注,新疆1注,共7注。",2017-11-12,400247724
2017134,28,05,04,11,14,32,04,"北京1注,山西1注,内蒙古1注,吉林2注,江苏1注,浙江1注,山东1注,重庆1注,四川3注,陕西1注,共13注。",2017-11-14,365781644
2017135,07,14,18,06,01,26,16,"山西1注,山东3注,广东1注,广西1注,贵州1注,云南1注,共8注。",2017-11-16,378825098
2017136,03,10,18,07,24,21,12,"河北2注,江苏3注,浙江2注,安徽4注,深圳5注,广西1注,四川1注,陕西1注,共19注。",2017-11-19,401556928
2017137,26,10,23,31,05,20,03,"天津1注,内蒙古1注,安徽2注,广西1注,四川1注,云南1注,共7注。",2017-11-21,376184186
2017138,28,01,24,17,32,33,02,"江苏1注,浙江1注,广东1注,重庆1注,四川2注,共6注。",2017-11-23,377937674
2017139,28,14,24,02,20,32,16,"山西1注,河南2注,广东1注,四川1注,陕西1注,共6注。",2017-11-26,409744564
2017140,28,21,22,25,29,30,08,"北京10注,内蒙古1注,江苏1注,浙江1注,安徽1注,山东1注,云南1注,共16注。",2017-11-28,376479116
2017141,07,06,11,13,01,15,05,"江苏1注,山东1注,广东1注,陕西1注,共4注。",2017-11-30,374075240
2017142,23,13,14,18,08,33,06,"山西1注,福建1注,江西1注,河南1注,重庆1注,新疆1注,共6注。",2017-12-03,417715258
2017143,14,06,29,20,04,09,14,"河北1注,辽宁1注,上海6注,山东1注,广东1注,青海1注,新疆2注,共13注。",2017-12-05,383967718
2017144,16,14,32,03,20,31,09,"北京1注,天津2注,浙江1注,江西1注,四川1注,云南2注,共8注。",2017-12-07,394649686
2017145,17,12,28,06,25,02,12,"河北1注,山西1注,内蒙古1注,辽宁1注,吉林1注,黑龙江1注,上海1注,江苏1注,浙江6注,安徽1注,山东2注,湖北1注,湖南3注,深圳1注,重庆2注,四川2注,云南2注,陕西2注,甘肃1注,共31注。",2017-12-10,434698744
2017146,01,25,27,26,33,19,10,"北京1注,河北5注,吉林1注,江苏1注,山东1注,湖北1注,湖南6注,广东1注,重庆1注,四川2注,贵州1注,共21注。",2017-12-12,409358700
2017147,25,31,07,20,03,21,14,"山西1注,上海1注,安徽1注,共3注。",2017-12-14,397012632
2017148,07,32,11,14,04,29,12,"北京1注,河北1注,内蒙古2注,辽宁1注,江苏2注,浙江4注,山东2注,四川2注,贵州1注,云南2注,共18注。",2017-12-17,419003890
2017149,30,20,05,08,27,15,13,"河北3注,内蒙古2注,辽宁4注,吉林1注,黑龙江3注,上海7注,江苏6注,浙江3注,安徽2注,福建2注,江西1注,山东6注,河南4注,湖北1注,湖南3注,广东2注,深圳3注,广西3注,重庆3注,四川4注,贵州1注,陕西1注,甘肃1注,新疆1注,共67注。",2017-12-19,389703152
2017150,20,23,19,14,21,06,08,"安徽1注,湖北1注,广东1注,深圳1注,重庆1注,四川1注,云南2注,新疆1注,共9注。",2017-12-21,382821120
2017151,09,07,27,02,11,05,16,"辽宁1注,江苏3注,安徽1注,福建1注,共6注。",2017-12-24,410102286
2017152,29,26,23,10,06,25,05,"吉林1注,浙江1注,福建1注,山东1注,重庆2注,四川1注,陕西1注,共8注。",2017-12-26,367326916
2017153,13,11,07,18,19,12,16,"北京1注,山西1注,浙江1注,湖北1注,共4注。",2017-12-28,372349292
2017154,15,05,18,13,26,09,05,"河北1注,浙江1注,安徽1注,江西1注,山东1注,湖北1注,广东2注,广西1注,四川1注,甘肃1注,共11注。",2017-12-31,414241024
2018001,28,11,26,01,31,08,04,"黑龙江1注,江苏1注,浙江10注,福建1注,山东1注,湖北2注,湖南1注,深圳1注,广西1注,四川1注,甘肃1注,宁夏1注,共22注。",2018-01-02,367348082
2018002,07,33,18,24,31,29,16,"河北1注,黑龙江1注,四川1注,共3注。",2018-01-04,351610618
2018003,16,31,20,01,14,17,04,"河北1注,山西1注,安徽1注,山东1注,湖北1注,共5注。",2018-01-07,388121442
2018004,31,18,30,26,14,19,11,"吉林1注,浙江8注,湖北1注,广东1注,深圳1注,甘肃1注,共13注。",2018-01-09,349304820
2018005,31,20,21,02,33,28,06,"北京1注,共1注。",2018-01-11,354961030
